"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
CHEM F367,LABORATORY PROJECT,-,-,3,1,ANUPAM BHATTACHARYA,,,
CHEM F376,DESIGN PROJECT,-,-,3,1,DURBA ROY,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,Unnamed: 9
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
CHEM F377,DESIGN PROJECT,-,-,3,1,DURBA ROY,,,
CHEM F412,PHOTOCHEM & LASER SPECTR,3,-,3,1,DURBA ROY,M W F,3,
,,,,,,Subit Kumar Saha,,,
CHEM F414,BIO & CHEMICAL SENSORS,3,-,3,1,J SUBBALAKSHMI,T Th S,4,
CHEM G551,ADV ORGANIC CHEMISTRY,-,-,5,1,TANMAY CHATTERJEE,M W F,1 4,
CHEM G552,"ADVANCED INORGANIC
CHEMISTRY",-,-,5,1,SATYA NARAYAN GUIN,T Th S,5,
CS F211,DATA STRUCTURES & ALGO,3,1,4,1,NL BHANUMURTHY,M W F,3,
,Practical,,,,1,Barsha Mitra,M,67,
,,,,,,Anand Agrawal,,,
,,,,,2,Barsha Mitra,W,67,
,,,,,,Anand Agrawal,,,
,,,,,3,Sameera Muhamed Salam,T,23,
,,,,,,S Shashank,,,
,,,,,4,Sameera Muhamed Salam,Th,23,
,,,,,,S Shashank,,,
,Tutorial,,,,1,Raghunath Reddy M,Th,1,
,,,,,2,Paresh Saxena,Th,12 31,
,,,,,3,Paresh Saxena,S,1,
,,,,,4,Raghunath Reddy M,S,1,
CS F212,DATA BASE SYSTEMS,3,1,4,1,R GURURAJ,M W F,2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,Practical,,,,1,R Gururaj,T,67,
,,,,,,Nida Fatima,,,
,,,,,2,Manik Gupta,Th,67,
,,,,,,Nida Fatima,,,
,,,,,3,Manik Gupta,S,23,
,,,,,,Harsha Varun Marisetty,,,
,,,,,4,Prajna Devi Upadhyay,F,67,
,,,,,,Harsha Varun Marisetty,,,
,Tutorial,,,,1,R Gururaj,Th,1,
,,,,,2,Abhijit Das,S,12 31,
,,,,,3,Prajna Devi Upadhyay,Th,1,
,,,,,4,Prajna Devi Upadhyay,S,1,
CS F213,OBJECT ORIENTED PROG,3,1,4,1,ABHIJIT DAS,M W F,2,
,Practical,,,,1,Abhijit Das,T,3 29,
,,,,,,Deepa Kumari,,,
,,,,,2,Aneesh Sreevallabh Chivuku,Th,89,
,,,,,,Chaitra C R,,,
,,,,,3,Aritra Mukherjee,F,2 13,
,,,,,,Prerna Saurabh,,,
,,,,,4,Subhrakanta Panda,W,45,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Deepa Kumari,,,
CS F241,MICROPROC & INTERFACING,3,1,4,1,SUBHRADEEP PAL,T Th S,4,
,,,,,2,Runa Kumari,T Th S,4,Unnamed: 9
,Practical,,,,1,Subhradeep Pal,F,67,
,,,,,,Keerthi C J,,,
,,,,,2,TO BE ANNOUNCED,M,67,
,,,,,,Pn Sidhartha,,,
,,,,,3,TO BE ANNOUNCED,W,67,
,,,,,,Ramya K,,,
,,,,,4,Sourav Nandi,M,67,
,,,,,,Battina Sindhu,,,
,,,,,5,Sourav Nandi,F,67,
,,,,,,Battina Sindhu,,,
,,,,,6,Mrunali Dnyaneshwar Wagh,T,23,
,,,,,,TO BE ANNOUNCED,,,
,,,,,7,Sanket Goel,Th,23,
,,,,,,Manish Laxminarayan Bhaiy,,,
,,,,,8,Ritesh Kumar Singh,T,23,
,,,,,,TO BE ANNOUNCED,,,
,,,,,9,Sree Rama Amrutha Lahari,S,23,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Ch Suresh Kumar,,,
